source,target
Welfare Meal,福利餐
Rag and Bone Shop,破烂骨头商店
Pankration Ring,拳力斗技场
Pankration,拳力斗技
Weary Inn,倦意之屋
Zakan's Street Bites,扎坎小吃摊
Muhuru's Gemporium,穆胡鲁宝石铺
Throne of the Primal Fire,源火之圣座
Djembe Studios,金贝乐棚
"""Yumekizuki's Cozy Cornder""",「梦见月的舒心小站」
Proficiency,熟练度
Specialty,特殊料理
Delicious ○○,美味的〇〇
Suspicious ○○,奇怪的〇〇
Chicken-Mushroom Skewer,野菇鸡肉串
Teyvat Fried Egg,提瓦特煎蛋
Steak,烤肉排
Radish Veggie Soup,萝卜时蔬汤
Mondstadt Grilled Fish,蒙德烤鱼
Mint Jelly,薄荷果冻
Mora Meat,摩拉肉
Stir-Fried Filet,爆炒肉片
Grilled Tiger Fish,烤吃虎鱼
Pop's Teas,大碗茶
Rice Buns,米窝窝
Egg Roll,鸟蛋烧
Bird Egg Sushi,鸟蛋寿司
Sweet Shrimp Sushi,甜虾寿司
Dry-Braised Salted Fish,干烧香鱼
Soba Noodles,荞麦面
Vegetarian Abalone,素鲍鱼
Minty Bean Soup,薄荷豆汤
Duck Confit,油封鸭腿
Jadevein Tea Eggs,玉纹茶叶蛋
Chenyu Brew,沉玉茶露
Magma Eggs,乌乌黑蛋
Flaming Red Bolognese,火火肉酱面
Sweet Madame,甜甜花酿鸡
Northern Smoked Chicken,北地烟熏鸡
Cream Stew,白汁时蔬烩肉
Tea Break Pancake,庄园烤松饼
Fried Radish Balls,炸萝卜丸子
Fisherman's Toast,渔人吐司
Satisfying Salad,满足沙拉
Goulash,稠汁蔬菜炖肉
Almond Tofu,杏仁豆腐
Jueyun Chili Chicken,香嫩椒椒鸡
Jewelry Soup,珍珠翡翠白玉汤
Matsutake Meat Rolls,松茸酿肉卷
Crystal Shrimp,水晶虾
Lotus Seed and Bird Egg Soup,莲子禽蛋羹
Noodles with Mountain Delicacies,山珍热卤面
Mint Salad,凉拌薄荷
Crab Roe Tofu,蟹黄豆腐
Tuna Sushi,金枪鱼寿司
Onigiri,饭团
Mixed Yakisoba,什锦炒面
Udon Noodles,乌冬面
Sangayaki,山家烧
Grilled Unagi Fillet,蒲烧鳗肉
Crab Roe Kourayaki,蟹黄壳壳烧
Wakatakeni,若竹煮
Radish and Fish Stew,鲜鱼炖萝卜
Berry Mizu Manjuu,树莓水馒头
Katsu Sandwich,炸肉排三明治
Stir-Fried Fish Noodles,干炒鱼河
Apple Cider,苹果酿
Berry & Mint Burst,薄荷树莓饮
Wolfhook Juice,冰钩钩果汁
Sparkling Berry Juice,气泡酸莓汁
Dango Milk,团子牛奶
Selva Salad,雨林沙拉
Mushroom Hodgepodge,杂菇荟萃
Shawarma Wrap,烤肉卷
Fish With Cream Sauce,奶酱鲜鱼
Aaru Mixed Rice,阿如拌饭
Masala Cheese Balls,马萨拉芝士球
Panipuri,绿汁脆球
Curry Shrimp,咖喱虾
Rose Custard,蔷薇奶糊
Crocodile Jerky,鳄鱼肉干
Samosa,萨巴桑炸角
Cream of Mushroom Soup,奶油蘑菇汤
Fontainian Onion Soup,枫丹洋葱汤
Tasses Ragout,塔塞斯杂烩
Fontaine Aspic,水乡肉冻
Garlic Baguette,蒜香面包棍
Ile flottante,浮露白霜
Fonta,枫达
Tea-Smoked Squab,茶熏乳鸽
Qingxin Flower Cake,清心花饼
Forest of Color,多彩之森
Grainfruit Chips,的粒果片片
Puffed Grainfruit Bars,粒果膨膨棒
Cheesy Mushroom Skewer,酪烤菇菇串
Sour Sauce Ceviche,酸汁腌鱼
Fragrant Mashed Potatoes,香浓土豆泥
Golden Shrimp Balls,金丝虾球
Calla Lily Seafood Soup,嘟嘟莲海鲜羹
Cold Cut Platter,冷肉拼盘
Sticky Honey Roast,蜜酱胡萝卜煎肉
"Crab, Ham & Veggie Bake",蟹黄火腿焗时蔬
Mushroom Pizza,烤蘑菇披萨
Pile 'Em Up,堆高高
Barbatos Ratatouille,风神杂烩菜
Adventurer's Breakfast Sandwich,冒险家蛋堡
Sunshine Sprat,黄油煎鱼
Golden Chicken Burger,脆脆鸡腿堡
Stir-Fried Shrimp,清炒虾仁
Northern Apple Stew,北地苹果焖肉
Mondstadt Hash Brown,蒙德土豆饼
Fruits of the Festival,假日果酿
Sunset Berry Tea,日落莓莓茶
Fullmoon Egg,明月蛋
Universal Peace,四方和平
Triple-Layered Consommé,扣三丝
Jade Fruit Soup,琼玉果汤
Come and Get It,来来菜
Qingce Stir Fry,轻策农家菜
Squirrel Fish,松鼠鱼
Black-Back Perch Stew,水煮黑背鲈
Zhongyuan Chop Suey,中原杂碎
Lotus Flower Crisp,莲花酥
Jueyun Guoba,绝云锅巴
Sautéed Matsutake,黄油松茸
Dragon Beard Noodles,龙须面
Fruity Smoothie,果果仙酪
Fruity Duet,双果清露
More-and-More,多多烧
Unagi Chazuke,鳗肉茶泡饭
Omelette Rice,蛋包饭
Five Pickled Treasures,五宝腌菜
Taiyaki,日落鲷鱼烧
Sakura Shrimp Crackers,绯樱虾仙贝
Invigorating Kitty Meal,活力喵饭
Oncidium Tofu,文心豆腐
Braised Meat,红烩瘦肉
Rice Pudding,米饭布丁
Sakura Tempura,绯樱天妇罗
Rice Cake Soup,市井杂煮
Sakura Mochi,绯樱饼
Imported Poultry,渡来禽肉
Tri-Flavored Skewer,串串三味
Tonkotsu Ramen,兽骨拉面
Tricolor Dango,三彩团子
Minty Meat Rolls,兽肉薄荷卷
Rainbow Aster,紫苑云霓
Pita Pocket,口袋饼
Butter Chicken,黄油鸡
Milky Mushroom Crisp Tower,奶香菌菇脆塔
Charcoal-Baked Ajilenakh Cake,椰炭饼
Tahchin,米圆塔
Potato Boat,土豆船
Padisarah Pudding,帕蒂沙兰布丁
Candied Ajilenakh Nut,枣椰蜜糖
Baklava,千层酥酥
Minty Fruit Tea,薄荷曼果茶
Crispy Potato Shrimp Platter,鲜虾脆薯盏
Lasagna,肉酱千层面
Steak Tartare,生肉塔塔
Pate de Fruit,果果软糖
Fish and Chips,炸鱼薯条
Poisson Seafood Soup,白淞鲜汤
Poissonchant Pie,鱼鱼咏唱派
Conch Madeleine,晶螺糕
Fruity Trio,花果三重奏
La Lettre a Focalors,致水神
Blubber Profiterole,膨膨泡芙
A Magical Mix,魔术特调
Exclusive Scoop: Gourmet Column,独家秘闻·美食专栏
Magmic Ode,炎岩之颂
Fried Shrimp Beanballs,炸虾豆球
Tatacos,塔塔可
Bathhouse Manjuu,钱汤馒头
Saurus Crackers,龙龙饼干
Fruits Aplenty,沃陆果饮
Bountiful Year,丰年有余
Chili-Mince Cornbread Buns,辣肉窝窝头
Sashimi Platter,刺身拼盘
Chicken Tofu Pudding,鸡豆花
Golden Crab,黄金蟹
Jade Parcels,翡玉什锦袋
Tianshu Meat,天枢肉
Golden Fried Chicken,大黄金吮指鸡
Butter Crab,黄油蟹蟹
Biryani,兽米香香
Meat Lovers' Mushroom Pizza,肉肉烤蘑菇披萨
Tandoori Roast Chicken,唐杜尔烤鸡
Super Magnificent Pizza,超级至尊披萨
Vessie Chicken,韦西鸡
Stuffed N' Mashed Potatoes,夹心土豆泥
Drunken Plums in Snow,梅落雪间醉
Puff Pops,咚咚嘭嘭
Sing Your Heart Out,纵声欢唱
Glittering Gemstones,宝石闪闪
Hot Spring O'Clock,温泉时光
Harvest's Boon,丰稔之赐
Adeptus' Temptation,仙跳墙
Haggis,羊杂哈吉斯
Bulle Souffle,泡泡舒芙蕾
Mega-Meaty Sushi,肉满满寿司
Bulle Sauce Duck Breast,桔香鸭胸肉
Fontinalia Mousse,千灵慕斯
Consomme,百味一缕
Rainbow Macarons,缤纷马卡龙
Honey Char Siu,蜜汁叉烧
Crisp Croissant Combo,酥酥羊角包
Blubbrecream,膨膨冰淇淋
Fricassee de Poulet,奶油炖鸡
Chocolate,巧克力
Blazed Meat Stew,火焰炖肉
Grainfruit Mear Soup,粒果肉汤
Grilled in Mint Sauce,薄荷酱烤鱼
Cup O'Grainfruit,粒果杯
Xocoatl,苦水
Mystique Soup,奇瑰之汤
Grainfruit Wrap,粒果裹裹
Cheesy Crab Hotpot,酪香蟹蟹锅
Outrider's Champion Steak!,侦察骑士烤肉
Fruity Skewers,果香串烤
Lighter-Than-Air Pancake,厚云朵松饼
Mysterious Bolognese,魔法肉酱面
Spicy Stew,辣味时蔬烩肉
Teyvat Charred Egg,提瓦特焦蛋
Puppy-Paw Hash Brown,爪爪土豆饼
Nutritious Meal (V.593),伍玖叁式营养餐
Die Heilige Sinfonie,祝圣交响乐
Dinner of Judgment,审判的晚宴
Once Upon a Time in Mondstadt,蒙德往事
Der Weisheit Letzter Schluss (Life),至高的智慧（生活）
Fish-Flavored Toast,鱼香吐司
Woodland Dream,林之梦
Stormcrest Pie,骇浪派
Surveyor's Breakfast Sandwich,测绘员蛋堡
A Buoyant Breeze,真·风神杂烩菜
Wanmin Restaurant's Boiled Fish,万民堂水煮鱼
All-Delicacy Parcels,江湖百味
Cold Noodles with Mountain Delicacies,山珍凉卤面
Flash-Fried Filet,炝炒肉片
Qiankun Mora Meat,乾坤摩拉肉
Rockin' Riffin' Chicken!,摇·滚·鸡
No Tomorrow,没有未来菜
Survival Grilled Fish,绝境求生烤鱼
Sweet Dream,美梦
Prosperous Peace,盛世太平
Ghostly March,幽幽大行军
Cloud-Shrouded Jade,云遮玉
Qingce Household Dish,轻策家常菜
A Prize Catch,极致一钓
Dew-Dipped Shrimp,沾露虾仁
My Way,自有方圆
Heartstring Noodles,连心面
Encompassing Gladness,四喜圆满
Yummy Yum Cha,得闲饮茶
Jade-Cut Flowers,玉剪着花
Dizziness-Be-Gone no Jutsu Version 2.0,头晕回避术·改
Warmth,暖意
All-Weather Beauty,雨奇晴好
Snow on the Hearth,红炉一点雪
Quiet Elegance,「静寂闲雅」
Summer Festival Fish,夏祭游鱼
A Stunning Stratagem,奇策
Victorious Legend,常胜传说
Fukuuchi Udon,福内乌冬
Way of the Strong,强者之道
Omurice Waltz,蛋包饭圆舞曲
Faith Eternal,永恒的信仰
The Only Truth,唯一的真相
Energizing Bento,朝气盒饭
Dreams of Healing,一梦治愈
Forest Watcher's Choice,巡林官精选
Duel Soul,决斗之魂
Swirling Steps,婆娑一舞
Extravagant Slumber,安眠奢想
Ideal Circumstance,「理想情况」
Show Me the Mora,摩拉急速来
Halvamazd,哈瓦玛玛兹
Shimi Chazuke,真味茶泡饭
Goldflame Tajine,炽金之锅
Utmost Care,关怀备至
The Endeavor,悉心一作
Traditionally-Made Charcoal-Baked Ajilenakh Cake,古法秘制椰炭饼
Super-Dee-Duper Delicious Meat Roll,烤肉香香香卷
Cubic Tricks,方块戏法
A Leisurely Sip,午后闲茶
Seabird's Sojourn,海鸟的驻足
Consomme Purete,缥雨一滴
Secret Sauce BBQ Ribs,秘烤肋排
Pour la Justice,普茹斯蒂司
Sin: The Kind that Doesn't Need to be Dealt With,罪恶·非必要处理型
Fashion Show,时装秀
Pick What You Like!,选你喜欢的！
Hearthfire's Trail,炉火的往迹
Tagged and Bagged,猎获
Well-Balanced Meal,膳食均衡餐
A Fragrant Feast of Flavors,香馥繁味
Impeccably Organized,齐齐整整
Pass the Luck,好运传递
Saurian Hunter's Reward,猎龙者的犒赏
Fruit-Flavored Milk Candies,果味奶糖
Moment of Respite,歇止一刻
Honey-Glazed Ceviche,蜜汁腌鱼
Hymn of Gathered Flame,簇火赞歌
Secret Art,独门秘法
Mt. Mushroom(For One),菇菇山脉(单人份)
Gold-Standard Healthy Meal,金牌健康餐
Sunsettia,日落果
Mint,薄荷
Sweet Flower,甜甜花
Pinecone,松果
Apple,苹果
Mushroom,蘑菇
Berry,树莓
Snapdragon,金鱼草
Horsetail,马尾
Seagrass,海草
Lavender Melon,堇瓜
Raw Meat,兽肉
Chilled Meat,冷鲜肉
Fowl,禽肉
Smoked Fowl,熏禽肉
Fish,鱼肉
Crab,螃蟹
Milk,牛奶
Wheat,小麦
Flour,面粉
Zaytun Peach,墩墩桃
Sumeru Rose,须弥蔷薇
Harra Fruit,香辛果
Spice,香辛料
Glabrous Beans,秃秃豆
Coffee Beans,咖啡豆
Ajilenakh Nut,枣椰
Mysterious Meat,神秘的肉
Bulle Fruit,泡泡桔
Marcotte,茉洁草
Tidalga,汐藻
Fermented Juice,发酵果实汁
Grainfruit,颗粒果
Red Berryshroom,红果果菇
Brilliant Diamond Gemstone,璀璨原钻
Agnidus Agate Gemstone,燃愿玛瑙
Agnidus Agate Chunk,燃愿玛瑙块
Agnidus Agate Fragment,燃愿玛瑙断片
Agnidus Agate Sliver,燃愿玛瑙碎屑
Varunada Lazurite Gemstone,涤净青金
Varunada Lazurite Chunk,涤净青金块
Varunada Lazurite Fragment,涤净青金断片
Varunada Lazurite Sliver,涤净青金碎屑
Vajrada Amethyst Gemstone,最胜紫晶
Vajrada Amethyst Chunk,最胜紫晶块
Vajrada Amethyst Fragment,最胜紫金断片
Vajrada Amethyst Sliver,最胜紫金碎屑
Vayuda Turquoise Gemstone,自在松石
Vayuda Turquoise Chunk,自在松石块
Vayuda Turquoise Fragment,自在松石断片
Vayuda Turquoise Sliver,自在松石碎屑
Shivada Jade Gemstone,哀叙冰玉
Shivada Jade Chunk,哀叙冰玉块
Shivada Jade Fragment,哀叙冰玉断片
Shivada Jade Sliver,哀叙冰玉碎屑
Prithiva Topaz Gemstone,坚牢黄玉
Prithiva Topaz Chunk,坚牢黄玉块
Prithiva Topaz Fragment,坚牢黄玉断片
Prithiva Topaz Sliver,坚牢黄玉碎屑
Nagadus Emerald Gemstone,生长碧翡
Nagadus Emerald Chunk,生长碧翡块
Nagadus Emerald Fragment,生长碧翡断片
Nagadus Emerald Sliver,生长碧翡碎屑
Primogem,原石
Intertwined Fate,纠缠之缘
Acquaint Fate,相遇之缘
Genesis Crystal,创世结晶
Masterless Stardust,无主的星尘
Mora,摩拉
Original Resin,原粹树脂
Fragile Resin,脆弱树脂
Condensed Resin,浓缩树脂
Transient Resin,须臾树脂
Sanctifying Unction,祝圣油膏
Sanctifying Essence,祝圣精华
Anemoculus,散失的风神瞳
Geoculus,散失的岩神瞳
Electroculus,散失的雷神瞳
Dendroculus,散失的草神瞳
Hydroculus,散失的水神瞳
Pyroculus,散失的火神瞳
Anemoculus Resonance Stone,风神瞳共鸣石
Geoculus Resonance Stone,岩神瞳共鸣石
Electroculus Resonance Stone,雷神瞳共鸣石
Dendroculus Resonance Stone,草神瞳共鸣石
Hydroculus Resonance Stone,水神瞳共鸣石
Pyroculus Resonance Stone,火神瞳共鸣石
Crimson Agate,绯红玉髓
Spirit Carp,苍灵鲤
Crystal Core,晶核
City States Sigil,七国之印
Anemo Sigil,风之印
Geo Sigil,岩之印
Electro Sigil,雷之印
Dendro Sigil,草之印
Hydro Sigil,水之印
Pyro Sigil,火之印
Adepti Seeker's Stove,「寻仙的美食家」
Warming Bottle,放热瓶
Wind Catcher,捕风瓶
Geo Treasure Compass,岩之寻宝罗盘
Electro Treasure Compass,雷之寻宝罗盘
Dendro Treasure Compass,草之寻宝罗盘
Hydro Treasure Compass,水之寻宝罗盘
Pyro Treasure Compass,火之寻宝罗盘
NRE (Menu 30),叁零式·便携营养袋
Portable Waypoint,口袋锚点
Kamera,留影机
Parametric Transformer,参量质变仪
Dream Solvent,异梦溶媒
Waverider Repair Toolbox,浪船修理箱
Hunting Trap,狩猎陷阱
Memento Lens,「留念镜」
Peculiar Pinion,奇特的羽毛
Red Feather Fan,赤羽团扇
Key Sigil,键纹
Domain Reliquary,深秘圣物匣
Lumenstone Adjuvant,流明石触媒
Lumenspar,流明晶石
Lumenstone Ore,流明石原矿
Glazed Sand Crystal,琉璃晶砂
Orb of the Blue Depths,渊青宝珠
Flower of Farsight,远眺之花
Skyfeather,高翔之羽
Cup of Commons,共饮之杯
Helm of Warding,庇佑之冠
Warrior's Spear,同泽之枪
The Boon of the Elder Tree,王树瑞佑
Ultra-Hot Burner Lamp Test Model,试验型超燃灯
Fishing Line Stabilizer,鱼线稳定器
Ancient Autoharmonic Music Box,古老的自鸣音乐盒
Nightwind Horn,晚风圆号
Wanderer's Advice,流浪者的经验
Adventurer's Experience,冒险家的经验
Hero's Wit,大英雄的经验
Enhancement Ore,精锻用杂矿
Fine Enhancement Ore,精锻用良矿
Mystic Enhancement Ore,精锻用魔矿
Headshield Potion,耐热药剂
Desiccant Potion,防潮药剂
Frostshield Potion,耐寒药剂
Windbarrier Potion,防风药剂
Insulation Potion,绝缘药剂
Dustproof Potion,防尘药剂
Flaming Essential Oil,烈火精油
Streaming Essential Oil,激流精油
Frosting Essential Oil,霜劫精油
Gushing Essential Oil,狂风精油
Shocking Essential Oil,惊雷精油
Unmoving Essential Oil,磐石精油
Mist Flower,冰雾花
Mist Flower Corolla,冰雾花花朵
Flaming Flower,烈焰花
Flaming Flower Stamen,烈焰花花蕊
Viparyas,毗波耶
Pluie Lotus,久雨莲
Northlander Sword Billet,北陆单手剑原胚
Northlander Bow Billet,北陆弓原胚
Northlander Claymore Billet,北陆双手剑原胚
Northlander Polearm Billet,北陆长柄武器原胚
Northlander Catalyst Billet,北陆法器原胚
Midlander Sword Billet,央陆单手剑原胚
Midlander Bow Billet,央陆弓原胚
Midlander Claymore Billet,央陆双手剑原胚
Midlander Polearm Billet,央陆长柄武器原胚
Midlander Catalyst Billet,央陆法器原胚
Iron Chunk,铁块
White Iron Chunk,白铁块
Crystal Chunk,水晶块
Magical Crystal Chunk,魔晶块
Starsilver,星银矿石
Electro Crystal,电气水晶
Amethyst Lump,紫晶块
Condessence Crystal,萃凝晶
Crystalfish,水晶宴
Dawncatcher,擒霞客
Betta,斗棘鱼
Akai Maou,赤魔王
Lunged Stickleback,肺棘鱼
Snowstrider,雪中君
Divda Ray,迪芙妲鳐
Floating Ray,幽浮鳐
Formalo Ray,佛玛洛鳐
Brown Shirakodai,流纹褐蝶鱼
Abiding Angelfish,长生仙
Raimei Angelfish,雷鸣仙
Moonfin,月光鳍
Purple Shirakodai,流纹京紫蝶鱼
Tea-Colored Shirakodai,流纹茶蝶鱼
Golden Koi,金赤假龙
Pufferfish,炮鲀
Bitter Pufferfish,苦炮鲀
Maintenance Mek: Initial Configuration,维护机关·初始能力型
Maintenance Mek: Situation Controller,维护机关·态势控制者
Maintenance Mek: Platinum Collection,维护机关·白金典藏型
Dusk Sunfish,晚霞翻车鲀
Pseudoshark Unihornfish,伪装鲨鲨独角鱼
Bejeweled Unihornfish,宝石独角鱼
Phony Phlogiston Unihornfish,拟似燃素独角鱼
Greenwave Sunfish,青浪翻车鲀
Peach of the Deep Waves,沉波蜜桃
Halcyon Jade Axe Marlin,翡玉斧枪鱼
Floral Rapidfighting Fish,繁花斗士急流鱼
Diving Rapidfighting Fish,深潜斗士急流鱼
Bait,鱼饵
Fruit Paste Bait,果酿饵
Redrot Bait,赤糜饵
False Worm Bait,蠕虫假饵
Fake Fly Bait,飞蝇假饵
Sugardew Bait,甘露饵
Sour Bait,酸桔饵
Flashing Maintenance Mek Bait,维护机关频闪诱饵
Spinelgrain Bait,澄晶果粒饵
Emberglow Bait,温火饵
Teyvat Travel Guide,提瓦特游览指南
The Mondstadt Tower,蒙德高塔
Draft Hilichurl Ballads,丘丘语诗歌试作
The Legend of Vennessa,温妮莎传奇
The Boar Princess,野猪公主
The Little Witch and the Undying Fire,小魔女与不熄灭的火
The Feline Firm,猫咪事务所
Princess Mina of the Fallen Nation,亡国的美奈姬
Flowers for Princess Fischl,菲谢尔皇女夜谭
Yakshas: The Guardian Adepti,仙众夜叉 / 护法仙众夜叉录
Mt. Lingmeng Gossip,灵濛山夜话
Sangonomiya Chronicles,珊瑚宫记
A Legend of Sword,沉秋拾剑录
New Chronicles of the Six Kitsune,新六狐传
Shogun Almighty: Reborn as Raiden With Unlimited Power,转生成为雷电将军，然后天下无敌
"Pretty Please, Kitsune Guuji?",拜托了我的狐仙宫司
Before Sun and Moon,日月前事
The Serpent and Drakes of Tokoyokoku,常世国龙蛇传
"In the Light, Beneath the Shadow",光昼影底集
Hydrological Studies in Byakuyakoku,白夜国地理水文考
Glimpses of Mysterious Inazuma,稻妻秘见录
A Thousand Nights,千夜故事集
The History of the Decline and Fall of Remuria,雷穆利亚衰亡史
Fables de Fontaine,枫丹动物寓言集
Robben versus Chesterton: Iridescent Brooch,怪盗与名侦探：虹彩胸针之谜
The Fall of the Faded Castle,褪色古堡的崩塌
La Chanson d'Erinnyes,伊黎耶之歌
Tales of a Snow-Winged Goose,雪翅雁童话集
Time Trekker,旅时者
Perinheri,裴伦埃里
Anecdota Septentrionalis,北境秘史
The Two Musketeers,两个铳枪手
Dreams of the Ancient Capital,旧都梦夜奇谭
The Tale of Qoyllor and Ukuku,奎伊露和乌库库的故事
Maawe and Monetto,玛阿威与幻写灵
The Page Princess and the Six Pygmies,白之公主与六侏儒
Record of Hanan Pacha,哈南帕查记事
The Volcano Lord and the Shadow Pins,火山大王与缝影针
The Tale of Kuntur,昆图尔的故事
Fires of Autumn Twilight,秋暮之炎
The Headless Coquitao,无头的科奎塔奥
Festive Drum,绮筵之鼓
Aranyaka,森林书
Vintage Lyre,老旧的诗琴
Scarlet Sand Slate,赤沙石板
Crystalfly Trap,晶蝶诱捕装置
Wind-Powered Wind Generator,借动式鼓风装置
Itty Bitty Octobaby,柔柔小章
Portable Aerodynamic Gelatinous Bubble Generator,便携式空气动力胶质泡生发器
Special Analysis Zoom Lens,特殊分析变焦镜头
Image Sampling Kamera,图形样本留影机
Graffiti Kamera,涂鸦留影机
Paimon's Kamera,派蒙的留影机
Mementos of Teyvat Albums,提瓦特忆册
Firstborn Firesprite,初诞灵焰
Djem Djem Drum,聚聚鼓
Ukulele,悠可琴
Cleansing Bell,涤尘铃
Key of the Moon-bathed Deep,月浴渊之钥
Waters of Lethe,忘川之水
Dragonbone Orb,龙骨花凝珠
Archaic Stone,老石
Arahaoma,兰赫玛
Bija,惟耶之实
Unsealed Parchment,启封的羊皮卷
Lost Energy Block,遗落的能量块
Chess Piece,棋子
Activation Device,激活器件
Korybantes,俱利般地
Kory Drum,俱利鼓
Udumbara Pistil,忧昙花的花蕊
Great Song of Khvarena,灵光绝唱
Magic Pocket,魔术口袋
"""Opera House Switcheroo"" Case Record",「歌剧院交换魔术」案件记录册
"""Water and Missing Person"" Case Record",「水与失踪者」案件记录册
Liliacruces Treasure,十字铃兰秘宝
Holy Blade of Narzissenkreuz,「水仙十字圣剑」
Enigmatic Page,神秘的书页
Mysterious Core,神秘的核心
Strange Part,奇特的零件
Credit Coupon,特许券
Hydro Phantasm Taint-B-Gone,浊水幻灵克星
Candlecap Mushroom,烛伞蘑菇
Embercore Flower,烬芯花
Spinel Fruit,澄晶实
Cacahuatl,苦种
Night Jade,夜之玉
Blazing Flint Ore,灼燃的燧原矿
Pilgrim's Chronicle,圣夜旅织
Felix Felicium,「幸运祝福」
Path of Turnfire,回火之路
"Somewhat Aged Copy of ""Tequit the Brave""",略显陈旧的《勇敢的特奎》
"Spanking New Copy of ""Tequit the Brave""",整洁崭新的《勇敢的特奎》
A Nameless Adventurer's Notes,无名冒险家的笔记
Saurus Crackers: Tatankasaurus,龙龙饼干·突角
Saurus Crackers: Qucusaurus,龙龙饼干·绒翼
Saurus Crackers: Yumkasaurus,龙龙饼干·匿叶
Saurus Crackers: Iktomisaurus,龙龙饼干·暝视
Saurus Crackers: Koholasaurus,龙龙饼干·鳍游
Saurus Crackers: Tepetlisaurus,龙龙饼干·嵴锋
Hu Tao: Plum Branch,「胡桃·梅枝」
Zhongli: Rex Coin,「钟离·帝钱」
Green Berryshroom,绿果果菇
That Which Was Once Ehecatl,曾是「厄卡特尔」之物
Wind Glider,风之翼
Sea Bleeze Dandelion,海风之梦
Summertime Sparkle,闪耀协奏
Orchid's Evening Gown,纱中幽兰
Ein Immernachtstraum,极夜真梦
Springbloom Missive,花时来信
A Sobriquet Under Shade,叶隐芳名
Blossoming Starlight,琪花星烛
Sailwind Shadow,帆影游风
Banboo Rain,雨化竹身
Twilight Blossom,玄玉瑶芳
FrostFlower Dew,冷花幽露
Breeze of Sabaa,莎邦之息
Phantom in Boots,倩影游侠
Elemental Lifeform,元素生命
Seelie,仙灵
Seelie Court,仙灵之庭
Warming Seelie,温暖仙灵
Electro Seelie,雷灵
Luminous Seelie,发光仙灵
Crystalfly,晶蝶
Anemo Crystalfly,风晶蝶
Geo Crystalfly,岩晶蝶
Cryo Crystalfly,冰晶蝶
Electro Crystalfly,雷晶蝶
Dendro Crystalfly,草晶蝶
Hydro Crystalfly,水晶蝶
Forest Boar,野林猪
Snowboar,雪猪
Great Snowboar King,大雪猪王
Weasel Thief,盗宝鼬
Amateur Weasel Thief,新手盗宝鼬
Hoarder Weasel Thief,藏金盗宝鼬
Golden Weasel Thief,大黄金盗宝鼬
Bluethunder Weasel,青雷鼬
Quicksand Unagi,流沙鳗鳗
Redbill Pelican,朱喙鹈鹕
Fluff-Fleece Goat,柔柔羊
Jadestone Turtle,玉璜龟
Venerable Jadestone Turtle,玉璜古龟
Velvetfall Duck,秋绒鸭
Jade Heartfeather Bass,玉玉心羽鲈
Lucklight Fly,吉光虫
Malachitin Lumibug,珉光虫
Bake-Danuki,妖狸
Ghostfish,冥鱼
Aranara,兰那罗
Dusk Bird,暝彩鸟
Desert Sumpter Beast,骆骆驮兽
Rishboland Tiger,长鬓虎
Spinocrocodile,棘冠鳄
Scorpion,毒蝎
Red Vulture,赤鹫
Flying Serpent,飞蛇
Gator Raja,鳄鱼大王
Sumpter Beastlord,驮兽大王
Jinni,镇灵
Signal Spirit,风之厄灵
Pari,花灵
Khvarena,灵光
countless motes of Khvarena,灵光百种
Farrwick,灵芯
Residual Pari of the Forest,谷木的残灵
Khvarena Mayfly,灵光游蜉
Amrita Mayfly,甘露游蜉
Oceanid / Lochfolk,纯水精灵
Guard Poodle,卫兵犬
Gentleman Poodle,绅士犬
Lady Poodle,淑女犬
Redcrown Finch,红冠雀
Umbrellafinch,伞雀
Magenta Fantail Pigeon,洋红扇尾鸽
Violetgold Angler Gull,紫金渔鸥
Bullet Barnacle,子弹藤壶
Barnacle Bullet,藤壶子弹
Wayob,大灵
Blue Mountain Spoonbill,山蓝琵鹭
Red Flamingo,赤鹳
Halberd-Crest Bird,戟冠鸟
Thick-Feathered Ruffed Pheasant,厚羽围脖雉
Flowcurrent Bird,浮流鸟
Flowfire Bird,浮燃鸟
Brown Deer,棕鹿
Alpaca,绵驮兽
Capybara,豚兽
Long-Necked Rhino,长颈角犀
Flying Squirrel,飞鼯
Pyro Crystalfly,火晶蝶
Phlogiston Aphid,燃素蜜虫
Crystal Beetle,固晶甲虫
Cacaua Goat,苦苦羊
Ancient Scarlet-Plume Finch,朱羽古团雀
Ancient Firewalker Spoonbill,游炎古琵鹭
Teyvat,提瓦特
Celestia,天空岛
Mondstadt,蒙德
Mondstadter,蒙德人
Starfell Valley,坠星山谷
Stormbearer Point,望风角
Stormbearer Mountains,望风山地
Starfell Lake,星落湖
Whispering Woods,低语森林
Cider Lake,果酒湖
Starsnatch Cliff,摘星崖
Thousand Winds Temple,千风神殿
Galesong Hill,风啸山坡
Windrise,风起地
Falcon Coast,鹰翔海滩
Dadaupa Gorge,达达乌帕谷
Windwail Highland,苍风高地
Springvale,清泉镇
Dawn Winery,晨曦酒庄
Wolvendom,奔狼岭
Drunkard Gorge,醉汉峡
Brightcrown Mountains,明冠山地
Brightcrown Canyon,明冠峡
Dragonspine,龙脊雪山
Snow-Covered Path,覆雪之路
Entombed City - Ancient Palace,雪葬之都·旧宫
Skyfrost Nail,寒天之钉
Starglow Cavern,星荧洞窟
Wyrmrest Valley,眠龙谷
Entombed City - Outskirts,雪葬之都·近郊
Dornman Port,荆夫港
